Issue No,Line,Section / ECU,Problem,Status,Date,Root Cause,Solution
BDF-0001,BCM,BCM Hella,Switches Not Pressed Routine Status Read Failed,Not Solved,2026-03-10,,
BDF-0002,ESP,ESP/ABS,Fill in Process Byte NOK,Not Solved,2026-03-10,,
BDF-0003,BCM,BCM Hella,PDC Sensor Calibration Failed,Solved,2026-03-09,,
BDF-0004,BCM,BCM Hella,Input Switch Test Routine Status Read Failed,Not Solved,2026-03-09,,
BDF-0005,BCM,BCM Hella,VEHICLE NOT SHIFTED IN REVERSE GEAR WITHIN A SPECIFTC TIME,Not Solved,2026-03-08,,
BDF-0006,EMS,EMS/TCU,Accelarator Test Failed,Not Solved,2026-03-08,,
BDF-0007,BCM,BCM Hella/EMS Bosch,ECU Start Diagnostics Failed,Not Solved,2026-03-07,,
BDF-0008,BCM,BCM Hella,Number of Key Paired Status Reading Failed,Solved,2026-03-07,,
BDF-0009,IHU,IHU,Microphone Signal Input circuit open,Not Solved,2026-03-06,,
BDF-0010,BCM,BCM Hella,No Transponder Key Pairing Done - System Programming Failures,Not Solved,2026-03-06,,
BDF-0011,BCM,BCM Hella,Right Turn Indicator Partial bulb out,Solved,2026-03-05,,
BDF-0012,BCM,BCM Hella,Partial Transponder Key Pairing Done - System Programming Failures,Not Solved,2026-03-05,,
BDF-0013,VECU,VECU Bosch 1.0,AC Linear Pressure Sensor value input to VECU - circuit voltage below threshold,Not Solved,2026-03-04,,
BDF-0014,BCM,BCM Hella,Left Turn Indicator Partial bulb out,Not Solved,2026-03-04,,
BDF-0015,VECU,VECU Bosch 1.0,PDU HVIL Sense PWM circuit open,Solved,2026-03-03,,
BDF-0016,VECU,VECU Bosch 1.0,Drive Mode Switch Status NOK,Not Solved,2026-03-03,,
BDF-0017,VECU,VECU Bosch 1.0,DCDC Fault CAN signal received by VECU event information,Not Solved,2026-03-02,,
BDF-0018,TCU,TCU Magnetti,Before power latch universal clear DTC failed,Not Solved,2026-03-02,,
BDF-0019,BCM,BCM Hella,Buzzer output line DTC - Circuit short to Battery or Open,Solved,2026-03-01,,
BDF-0020,FATC,FATC BEHR Falcon4,Air distribution Drive Motor Missing Calibration,Not Solved,2026-03-01,,
BDF-0021,IHU,IHU Visteon MID,AM/FM/DRM/DAB Antenna signal-circuit open,Not Solved,2026-02-28,,
BDF-0022,EPAS,EPAS MANDO PV,Tuning set variant is not selected,Solved,2026-02-28,,
BDF-0023,FATC,FATC BEHR Falcon4,Fresh Air/Recirc dive motor missing calibration,Not Solved,2026-02-27,,
BDF-0024,EMS,EMS Bosch XETA Cube Falcon4,Brake Pedal Test Failed,Not Solved,2026-02-27,,
BDF-0025,TCU,TCU Magnetti Marreili Nano,Gear Box Engage Faild,Solved,2026-02-26,,
BDF-0026,PEPS,PEPS Marquardt Osprey,PEPS ECU missing callibration,Not Solved,2026-02-26,,
BDF-0027,AirBag,AirBag Bosch AB12,Driver Airbag Deployment Control - circuit resistance below threshold,Not Solved,2026-02-25,,
BDF-0028,FATC,FATC BEHR Falcon4,Air temprature drive motor missing calibration,Solved,2026-02-25,,
BDF-0029,IPC,IPC Pricol PV,Lost communication with restraints Control Module(SRS) Bus Signal/Message failures,Not Solved,2026-02-24,,
BDF-0030,ABS,ABS Bosch 9.3,Rear left wheel speed sensor open/short to GND,Not Solved,2026-02-24,,
